Chem1,Chem2,Clnum
9.7494097292647,-4.14883359140393,1
8.94481337999653,-4.49251286431643,1
9.04017063358803,-4.23697465013996,1
8.9098741601773,-4.49079367421032,1
9.43556124469867,-3.5912994497245,1
9.60513436080532,-4.47404569556333,1
9.35869582243173,-4.5895195227432,1
8.85755843012228,-4.52721904300723,1
9.29195945629046,-4.24382722143562,1
9.82929970971882,-3.7626615736318,1
9.3372386100409,-4.64595037291839,1
9.15019046761623,-4.63979486413416,1
8.86567510095453,-4.44064814242933,1
8.80694747213779,-3.8358935374707,1
8.80629462860045,-4.23404733373037,1
9.46798189590728,-4.49375756898799,1
9.05260280036446,-4.44503904777305,1
9.57227964697413,-4.58959191406238,1
9.17362356472455,-4.34507937212138,1
9.34692277662375,-4.58996064855426,1
8.82545167693645,-4.32876989531161,1
8.72974623217318,-4.15822496099867,1
9.53661709007818,-4.45744065382727,1
8.62915630643605,-4.64244554677311,1
9.09198284292242,-4.85088941932312,1
8.63518960666111,-4.14814022258596,1
8.52550937126569,-5.01927866613245,1
8.54785220079447,-4.64557883834101,1
9.38930309810672,-4.49499792671392,1
9.43172997613005,-4.87283184888734,1
8.5966583079659,-4.58281716118413,1
8.77370051605852,-4.49965375447159,1
8.81959611147223,-4.42620166669983,1
9.22821696277344,-4.65814702131935,1
8.95293612470556,-5.18588133619095,1
8.44114127711176,-4.86204248894016,1
8.46003715312642,-4.47131954098386,1
8.98186814891269,-4.33648432481436,1
9.22145907903173,-5.13468540290109,1
8.46947173972699,-5.17296428776052,1
8.46833571210005,-4.63360699422451,1
9.18842182967026,-5.16349147829179,1
8.37340700423021,-5.16398547115765,1
8.2871646437785,-5.24803099773491,1
8.97948268967353,-5.0671601756029,1
8.76532102008641,-5.03164391167096,1
9.16588196388201,-5.00048533733996,1
8.52304471965517,-5.50796824998004,1
8.39649011136487,-4.5961801288117,1
8.98791890467774,-5.12678788688638,1
8.09840790685459,-4.99055348195931,1
8.41387370851735,-4.8461115491645,1
8.27814316972496,-5.27388651601503,1
8.70845109366408,-5.44381742288092,1
8.24267520744716,-5.59823027228418,1
8.76289967338533,-4.81027882578424,1
8.75272478983052,-5.31731539845646,1
8.09917485644087,-5.53701813375205,1
8.09751185453722,-4.92238900751864,1
8.96794665985002,-5.45135755414743,1
8.90351766158696,-5.41408630594588,1
8.09109498409789,-4.89157401892183,1
8.37727385294032,-5.07586017014785,1
8.22412736430298,-5.06295671181226,1
8.69884687949788,-5.29339910676493,1
7.88651883187481,-5.70635855622361,1
8.66178470689704,-5.78683665005473,1
8.39777363165473,-5.38345757111885,1
8.80731961482614,-5.35735330947589,1
8.77062421560705,-5.22311715545773,1
8.18602720815053,-5.78363679852232,1
8.03837409499247,-5.04783135072831,1
8.13838254790542,-5.14575770554709,1
7.95508830354935,-5.3359086582691,1
8.08097924167268,-5.89059589009641,1
8.40284121255326,-5.67274030318113,1
8.1804534871055,-5.73677600950083,1
7.71356460542241,-5.40608650489554,1
7.81288603948232,-5.23307723619912,1
8.06665459917021,-5.9304158938246,1
7.65481969521034,-6.15153555044652,1
7.91906718106133,-5.56252323495352,1
8.29348601393733,-5.29519194723314,1
8.46279935444528,-6.05000689915498,1
8.29650518657874,-6.07813703206788,1
7.98739421556694,-6.17845118426806,1
7.78590038170518,-5.62315543840741,1
7.98542268264232,-5.66294282178308,1
8.3131548584571,-5.56800235824481,1
7.71824942138668,-6.09372168970137,1
7.94558114717642,-6.37198486327731,1
8.15628208495911,-5.9819507943322,1
8.2612418156312,-5.61566438301782,1
7.97791282867621,-5.49239345110812,1
7.91100211287851,-6.25480184130405,1
8.16602329408209,-6.49900227741069,1
7.27628759390455,-5.80121372464871,1
8.05036437598915,-5.9257597790585,1
7.63155421138972,-6.12961800083417,1
7.77511891896945,-6.49896953438525,1
7.81516922274267,-6.30592298839567,1
7.39591752653431,-5.65030544884499,1
7.8294039590565,-5.68480002305741,1
8.06189443917028,-6.22561182575694,1
7.77180731185417,-6.47540274705311,1
7.37687690596504,-6.20422873908726,1
7.16974862699178,-5.97815926264038,1
7.67711886613367,-6.61762306663901,1
7.97014000975345,-6.30041238067142,1
7.98506045801883,-5.79259849826093,1
6.96248169588214,-5.94595102211975,1
7.45191464582995,-6.45245869064893,1
7.78377313012442,-5.78483872535935,1
7.25972865666125,-6.42339507756831,1
6.93322800130503,-6.10086787618966,1
7.47412571646808,-6.71795556608216,1
7.41558176551088,-6.04339742151454,1
7.45290198967619,-6.41469501813471,1
7.10376087409236,-6.54804934557534,1
7.04114425029969,-6.85973234484539,1
7.20716515446166,-6.69573982086323,1
7.39960959051561,-6.83925309727228,1
7.24862985857078,-6.24070868163897,1
6.81423788990384,-6.84402295966194,1
7.44468237897216,-6.30482833980051,1
7.08473745391835,-6.12558815908373,1
7.50730757721846,-6.3485338512068,1
7.24550282957187,-6.38153208845193,1
7.54561066137509,-7.01689791238129,1
6.80574409198793,-6.16820998222228,1
6.5418479710632,-6.96461116416709,1
7.28592571920873,-6.77482817034679,1
7.19675528083958,-6.38697810339109,1
7.29174638022655,-6.88555162430707,1
7.12024482213116,-6.14038802376468,1
